 f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49, f50, f51,Type
4.983097821,4.489068407,3.080905811,2.705196726,3.04931724,2.08110305,2.658669146,2.271080825,2.32199479,1.628968902,1.515150881,0.680618743,0.919965031,0.688470514,-0.23562629,0.280107802,0.691318022,1.080692913,0.830155885,1.270745777,1.503778705,1.551499381,1.873161541,2.185170393,2.556780328,2.650818125,5.86651209,4.113448193,3.324304219,2.916676459,2.654677886,2.544775873,2.497659066,2.279459612,2.157260254,1.694201128,1.387521782,0.871061033,0.674520071,0.814615734,0.521798709,0.259890057,0.564954443,0.893285302,0.797815668,1.124836799,1.695795861,1.631157965,1.884820328,2.198282509,2.450639712,2.623551444,real
3.314697918,-0.067305729,-1.415025406,-1.487998113,-2.012473483,-1.111897424,-1.501475627,-2.186136365,-0.744425587,-0.687919379,-0.397157116,0.252342207,0.440372393,-0.301385209,-0.278418868,0.378102262,0.974746885,0.947005585,1.49311923,1.290101658,1.223089052,1.592664241,2.408253171,2.50849512,2.448696935,2.78393883,4.839321267,2.344937158,1.643995191,0.91989875,0.799648937,0.444719249,0.297084607,0.03788365,0.088106226,-0.166713149,0.158205538,0.302593447,0.474350526,-0.089704201,0.172512492,0.739922404,0.808786263,0.898473989,1.51662551,1.434083288,1.409149037,1.699593452,2.605048682,2.230855688,2.578003626,2.91645005,real
4.55029156,1.095014853,-0.607389728,-0.909856525,-0.634318848,-0.789758811,-1.358094022,-1.173295031,-1.049788973,-1.04419767,-0.482435731,-0.425731095,0.263374241,0.232708476,0.497628733,0.619202681,0.726833003,0.471849733,0.675686862,1.249948357,1.206817457,0.885058051,1.596211099,2.222225951,2.36299031,2.566651683,4.542851984,1.505341434,0.266098696,-0.288851597,-1.110130482,-0.935206309,-0.770907093,-0.336595202,-0.597416644,-0.626576437,0.284275266,0.144426412,0.203614529,0.200571691,0.673659912,0.436912286,0.801527844,0.669374068,0.596170542,0.88362969,1.329362683,1.147749457,1.808816225,2.333821325,2.625484299,2.730447826,real
4.749839137,2.3728265,1.315197455,0.355386437,0.050234011,0.135685672,-0.496579997,-0.464410243,-0.20285488,-0.425623144,-0.124498609,0.345643482,0.583020988,0.533467319,0.337060358,-0.179537528,-0.149140199,0.399316543,1.181826523,1.440033164,1.615338692,1.694657433,2.162308516,2.47302652,2.67023222,2.675073898,5.467305282,2.040722591,1.951018147,2.542866106,2.369055104,1.823994292,1.00539299,1.248126963,1.207356928,0.695309878,0.677248242,0.412060557,1.031467626,0.561120484,0.099777648,-0.207870749,1.024227494,1.15016804,1.161639658,1.500643512,2.056986634,1.84527829,2.491256337,2.559288777,2.97930024,2.847327512,real
5.535902202,2.650940468,1.074992124,0.725571722,0.558506438,-0.09088892,-0.185707291,-0.32225356,-0.83280491,-0.262332908,0.150567,0.264001614,1.029821253,1.051315278,1.161306727,0.293816106,0.909885203,1.366777981,0.638664165,0.659719845,1.258443804,1.845486945,1.759119997,2.110741477,2.475376882,2.660983317,4.978185272,1.885025205,0.987082558,0.070547811,-0.21684367,-0.09480857,-0.98373884,-1.155094021,-1.015388638,-0.044908031,0.249875417,-0.15674549,0.36780818,0.781342464,0.970569444,0.494127234,1.024086713,0.836673214,0.939539094,0.985851221,1.686850034,1.86886182,1.652234379,2.140977433,2.361201072,2.582699742,real
5.77057653,2.342821004,2.270460721,2.009691989,1.892081721,2.063533491,1.593982656,1.247261615,0.747945915,0.922377827,0.304684113,0.98704591,0.436620266,0.160083412,0.195956925,0.291031779,0.874064369,1.185911301,0.927137127,1.575479025,1.676001239,1.500479118,1.656172887,2.11442669,2.446239958,2.685763436,6.237316003,3.680744724,3.012928867,2.507239453,2.09222167,2.253143855,1.902023563,1.467578337,0.73144297,0.741804255,0.781117036,0.990613046,0.506027049,0.875120414,0.511330678,0.281852017,0.870479983,1.365168153,1.29282478,1.702908802,1.737803652,1.840034237,1.894088567,2.30593523,2.69146038,2.669889211,real
4.955030204,1.600572622,0.379948927,-0.103109451,-0.538272577,-0.536353739,-0.636496741,-0.581817519,-0.921216679,-0.150400557,-0.261307494,-0.06377805,0.397151481,0.842920803,0.564431863,0.743246228,0.624034639,0.722569632,1.513816595,1.150935408,1.508474726,2.097825825,2.159750007,2.177084785,2.328367217,2.265467871,5.952693066,3.501750493,2.23751175,1.857543931,1.358319242,0.857574376,0.972608562,0.543718263,0.196039477,0.60814893,0.802109207,0.180160983,0.234146661,1.082108315,0.609612762,0.492786708,0.750932515,0.784095411,1.498680064,1.399144172,1.636248586,1.847831685,2.220918979,2.091959871,2.296516272,2.414024224,real
3.897684219,1.397562945,-0.778489368,0.119334712,-1.493556961,-0.268798505,-0.238100324,-0.474142395,-0.567339794,-0.177136308,-0.236893634,-0.00785208,0.256227545,0.341339312,-0.24123399,0.349786204,1.479217637,1.472505642,1.629548548,1.534348729,1.244540926,1.961372443,2.324676678,2.283640601,2.607128936,2.928853258,3.689520551,1.441840588,0.280266283,0.245110151,-0.649204158,-0.447574262,-0.076750717,-0.586068769,-0.574142033,-0.769594692,-0.309862619,0.449737336,0.800990212,0.317756332,-0.269300697,0.215897604,1.369526091,1.411024482,1.431662749,1.174752063,1.535514848,1.850987478,2.097377899,2.385109767,2.752634149,2.930861503,real
3.684922335,0.241989094,-0.470437612,-0.970432913,-0.609756752,-0.57284306,-0.824666935,-1.024302706,-0.15505233,-0.622753822,-0.600392918,-0.308639531,0.858796607,0.696079009,0.345473118,0.894774929,0.907078802,0.782689202,0.754306401,1.365319569,1.60750764,1.793167067,1.882693894,2.56606793,2.82381701,2.205021249,3.518102249,1.749868667,0.899752249,0.465136473,-0.022553529,-0.303574581,-0.080142162,-0.334058838,-0.457384877,-0.280177444,-0.219535483,-0.012417855,0.89624338,0.716580674,0.487412738,0.60723027,0.572177065,0.944766291,1.239774791,1.564036057,1.729454008,1.70447982,2.213710816,2.606412119,2.902896492,2.549427437,real
4.941478146,0.905686724,0.334488701,-0.494872943,-0.639859726,-0.913648572,-1.153180465,-0.933540012,-0.714765603,-0.729628822,-0.322767304,-0.000748973,0.903851495,0.232053726,0.328084379,0.550692923,0.268413645,0.55616609,1.153655848,1.315496369,1.64108534,1.86492757,2.028372151,2.290488403,2.651766161,2.904819926,4.941806041,0.500422074,-1.159274461,-1.348605794,-1.688126931,-1.983660922,-1.216245287,-0.863473545,-1.193917396,-0.432207316,-0.358424894,-0.210775826,0.826912948,0.296362086,0.321303377,0.330148588,0.620803644,0.844803959,1.297522441,1.184810108,1.613657031,1.860161412,2.031075969,2.356777067,2.368796187,2.924152245,real
4.808287538,2.686506992,2.187294716,2.057420874,2.009557282,2.034850687,1.985160528,1.665429284,1.612475142,1.344820883,0.869291465,0.533287052,0.204949973,0.581570878,-0.155669419,0.426670612,1.032133251,1.161844493,0.96351795,1.207209738,1.569474848,1.942907864,1.933878455,2.175925758,2.668079425,2.764677072,4.822943247,2.808629848,2.25996569,2.125863931,1.973156155,1.995078181,2.003713772,1.679539305,1.701854645,1.29934991,0.985223683,0.635187555,0.242731926,0.628946128,-0.03660474,0.530292646,1.118911953,0.970230156,0.434596329,0.808613244,1.484333588,1.828026716,2.076568301,2.332621257,2.641064143,2.719230792,real
